PPN,HAL,ORCID,VIAF,WIKIPEDIA,ISNI,BNF,WIKIDATA
098589636,myriam-servieres,0000-0001-5749-1590,http://viaf.org/viaf/208979810,,0000000358826908,,
050490559,,,http://viaf.org/viaf/37077823,,0000000040924583,http://catalogue.bnf.fr/ark:/12148/cb13532307s,Q113803723
034317384,,,http://viaf.org/viaf/29639227,https://fr.wikipedia.org/wiki/Philippe_Beck,0000000078260970,http://catalogue.bnf.fr/ark:/12148/cb12508477x,
077878744,,,http://viaf.org/viaf/29856305,,0000000116144939,http://catalogue.bnf.fr/ark:/12148/cb15619425q,
076127281,,,http://viaf.org/viaf/39672882,,0000000005282781,http://catalogue.bnf.fr/ark:/12148/cb15103451r,
026795353,,,http://viaf.org/viaf/10527977,https://fr.wikipedia.org/wiki/Catherine_Colliot-Thélène,0000000120990759,http://catalogue.bnf.fr/ark:/12148/cb118973649,
091568811,,,http://viaf.org/viaf/69207481,,0000000002542787,http://catalogue.bnf.fr/ark:/12148/cb150108050,
079960022,,,http://viaf.org/viaf/52144648254625911477,,0000000019116928,http://catalogue.bnf.fr/ark:/12148/cb14613078m,
028615298,,,http://viaf.org/viaf/36935991,,0000000066432042,http://catalogue.bnf.fr/ark:/12148/cb12041499h,Q93226324
089579410,,,http://viaf.org/viaf/100994625,,0000000081702346,http://catalogue.bnf.fr/ark:/12148/cb14627684c,
